Release 8.1i - Fit I.24
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 6- 7-2006  2:16PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  mergerStateMachine.ngd
output file: mergerStateMachine_pad.csv
Part type:   xc2c256
Speed grade: -6
Package:     vq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P51,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P52,KPR,,I/O,,,1,,,,,,,
P53,KPR,,I/O,,,1,,,,,,,
P54,KPR,,I/O,,,1,,,,,,,
P55,KPR,,I/O,,,1,,,,,,,
P56,KPR,,I/O,,,1,,,,,,,
P57,,VCC,VCC,,,,,,,,,,
P58,KPR,,I/O,,,1,,,,,,,
P59,KPR,,I/O,,,1,,,,,,,
P60,KPR,,I/O,,,1,,,,,,,
P61,KPR,,I/O,,,1,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,KPR,,I/O,,,1,,,,,,,
P64,KPR,,I/O,,,1,,,,,,,
P65,KPR,,I/O,,,2,,,,,,,
P66,KPR,,I/O,,,2,,,,,,,
P67,KPR,,I/O,,,2,,,,,,,
P68,KPR,,I/O,,,2,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,KPR,,I/O,,,2,,,,,,,
P71,KPR,,I/O,,,2,,,,,,,
P72,KPR,,I/O,,,2,,,,,,,
P73,KPR,,I/O,,,2,,,,,,,
P74,KPR,,I/O,,,2,,,,,,,
P75,GND,,GND,,,,,,,,,,
P76,KPR,,I/O,,,2,,,,,,,
P77,KPR,,I/O,,,2,,,,,,,
P78,KPR,,I/O,,,2,,,,,,,
P79,KPR,,I/O,,,2,,,,,,,
P80,KPR,,I/O,,,2,,,,,,,
P81,KPR,,I/O,,,2,,,,,,,
P82,KPR,,I/O,,,2,,,,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P85,KPR,,I/O,,,2,,,,,,,
P86,KPR,,I/O,,,2,,,,,,,
P87,KPR,,I/O,,,2,,,,,,,
P88,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P89,KPR,,I/O,,,2,,,,,,,
P90,KPR,,I/O,,,2,,,,,,,
P91,KPR,,I/O,,,2,,,,,,,
P92,KPR,,I/O,,,2,,,,,,,
P93,KPR,,I/O,,,2,,,,,,,
P94,MonitorEventReady<1>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P95,Sel,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P96,MonitorEventReady<0>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P97,EventReady,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P98,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P99,Rst,GSR,I/O/GSR,,LVCMOS18,2,,FAST,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


